"","smp_id","ow_suffix","event_uid","gage_uid","eventduration_hr","eventpeakintensity_inhr","eventavgintensity_inhr","eventdepth_in","eventdatastart_est","eventdataend_est","peak_level_ft","overtop","draindown_hr","rpsu"
"122","411-1-1","CS1",198,7,5.5,0.2,0.0273,0.15,"2023-02-12 22:45:00","2023-02-13 04:00:00",0.6996,"FALSE",-810,0
"123","411-1-1","CS1",199,7,3.5,0.16,0.0543,0.19,"2023-02-16 19:15:00","2023-02-16 22:30:00",1.2618,"FALSE",-820,25.9878
"124","411-1-1","CS1",200,7,12.5,0.76,0.072,0.9,"2023-02-17 10:30:00","2023-02-17 22:45:00",1.2618,"FALSE",-810,0.953
"125","411-1-1","CS1",201,7,1.5,0.12,0.0667,0.1,"2023-02-21 09:00:00","2023-02-21 10:15:00",0.2451,"FALSE",-810,0.0663
"126","411-1-1","CS1",202,7,8,0.16,0.0475,0.38,"2023-02-28 00:30:00","2023-02-28 08:15:00",0.7642,"FALSE",-810,0
"127","411-1-1","CS1",203,7,10.5,0.32,0.08,0.84,"2023-03-03 21:15:00","2023-03-04 07:30:00",1.026,"FALSE",2.5,15.3626
"128","411-1-1","CS1",204,7,5.25,0.16,0.0629,0.33,"2023-03-10 21:15:00","2023-03-11 02:15:00",0.598,"FALSE",-810,0
"129","411-1-1","CS1",205,7,15,0.04,0.0073,0.11,"2023-03-13 06:30:00","2023-03-13 21:15:00",0.4622,"FALSE",25.75,6.5229
"130","411-1-1","CS1",206,7,6,0.2,0.02,0.12,"2023-03-23 09:15:00","2023-03-23 15:00:00",0.7053,"FALSE",1.75,12.868
"131","411-1-1","CS1",207,7,2,0.68,0.17,0.34,"2023-03-23 23:15:00","2023-03-24 01:00:00",0.7053,"FALSE",1.75,7.6898
"132","411-1-1","CS1",208,7,5.5,0.12,0.0345,0.19,"2023-03-24 10:15:00","2023-03-24 15:30:00",0.7053,"FALSE",-810,0
"133","411-1-1","CS1",209,7,4.25,0.24,0.0447,0.19,"2023-03-25 14:00:00","2023-03-25 18:00:00",0.5818,"FALSE",-810,0
"134","411-1-1","CS1",210,7,3.25,0.2,0.0492,0.16,"2023-03-27 18:15:00","2023-03-27 21:15:00",0.4543,"FALSE",-810,0
"135","411-1-1","CS1",211,7,5,0.2,0.05,0.25,"2023-04-01 10:45:00","2023-04-01 15:30:00",0.6932,"FALSE",-810,0
"136","411-1-1","CS1",212,7,1.25,1.16,0.352,0.44,"2023-04-01 22:00:00","2023-04-01 23:00:00",0.4392,"FALSE",-810,0
"137","411-1-1","CS1",213,7,3.25,0.44,0.12,0.39,"2023-04-06 23:30:00","2023-04-07 02:30:00",0.4688,"FALSE",-810,0.0177
"138","411-1-1","CS1",214,7,4,0.28,0.04,0.16,"2023-04-17 05:15:00","2023-04-17 09:00:00",0.5016,"FALSE",-810,0
"139","411-1-1","CS1",215,7,10.5,0.48,0.0638,0.67,"2023-04-22 21:30:00","2023-04-23 07:45:00",0.9058,"FALSE",5.75,7.8799
"140","411-1-1","CS1",216,7,14,0.24,0.0221,0.31,"2023-04-26 21:15:00","2023-04-27 11:00:00",0.7943,"FALSE",3.75,4.4924
"141","411-1-1","CS1",217,7,25,0.28,0.0708,1.77,"2023-04-28 16:30:00","2023-04-29 17:15:00",1.2108,"FALSE",1,11.3891
"142","411-1-1","CS1",218,7,15.25,0.604,0.096,1.464,"2023-04-30 12:15:00","2023-05-01 03:15:00",1.5854,"FALSE",4,26.9979
"143","411-1-1","CS1",219,7,10,0.16,0.0279,0.279,"2023-05-20 09:30:00","2023-05-20 19:15:00",0.7352,"FALSE",15.25,5.973
"144","411-1-1","CS1",220,7,4.5,0.9,0.2242,1.009,"2023-06-12 18:45:00","2023-06-12 23:00:00",0.6138,"FALSE",-810,0
"145","411-1-1","CS1",221,7,3.25,0.208,0.0382,0.124,"2023-06-14 16:00:00","2023-06-14 19:00:00",0.164,"FALSE",-810,0
"146","411-1-1","CS1",222,7,3,1.992,0.399,1.197,"2023-06-16 13:45:00","2023-06-16 16:30:00",0.1852,"FALSE",-810,0
"147","411-1-1","CS1",223,7,20.25,0.916,0.0523,1.059,"2023-06-23 12:30:00","2023-06-24 08:30:00",0.1949,"FALSE",1.75,5.0492
"148","411-1-1","CS1",224,7,3.25,0.444,0.0585,0.19,"2023-06-24 15:15:00","2023-06-24 18:15:00",0.1632,"FALSE",-810,0
"149","411-1-1","CS1",225,7,11,2.16,0.1416,1.558,"2023-06-25 18:30:00","2023-06-26 05:15:00",0.8874,"FALSE",2,18.3598
"150","411-1-1","CS1",226,7,24.75,1.664,0.0862,2.133,"2023-06-26 23:45:00","2023-06-28 00:15:00",0.8874,"FALSE",2,8.586
"151","411-1-1","CS1",227,7,3.75,0.36,0.08,0.3,"2023-07-08 16:15:00","2023-07-08 19:45:00",0.3041,"FALSE",-810,0
"152","411-1-1","CS1",228,7,7.5,1.08,0.1267,0.95,"2023-07-09 16:00:00","2023-07-09 23:15:00",0.2586,"FALSE",-810,0.8371
"153","411-1-1","CS1",229,7,11.75,0.48,0.0672,0.79,"2023-07-16 07:00:00","2023-07-16 18:30:00",0.6725,"FALSE",1.25,14.6221
"154","411-1-1","CS1",230,7,5.25,0.48,0.0476,0.25,"2023-07-19 08:45:00","2023-07-19 13:45:00",0.3433,"FALSE",3.75,5.1745
